sep=;
title;date;summary;url
"Tập đoàn SK phủ nhận tin đồn bán cổ phần và nói ""không có ý định rút khỏi Việt Nam""";2022-12-26T08:14:12.217Z;Trong ngày 26/12, giới đầu tư dậy sóng trước thông tin Tập đoàn SK bán tài sản ở Việt Nam, Malaysia. Tuy nhiên, ông lớn Hàn Quốc đã lên tiếng phủ nhận tin đồn này, theo nguồn tin từ DealStreetAsia.;https://vietstock.vn/2022/12/tap-doan-sk-phu-nhan-tin-don-ban-co-phan-va-noi-khong-co-y-dinh-rut-khoi-viet-nam-830-1026520.htm
Tập đoàn SK muốn bán cổ phần ở hàng loạt công ty Việt Nam?;2022-12-26T02:37:52.103Z;Tập đoàn đa ngành Hàn Quốc SK Group đang cân nhắc bán một số tài sản ở Việt Nam và Malaysia để chuẩn bị cho trường hợp kinh tế xấu đi, dựa trên nguồn tin thân cận. Tại Việt Nam, gã khổng lồ Hàn Quốc đang nắm cổ phần ở Vingroup, Pharmacity, Imexpharm, Masan, Wincommerce và The CrownX.;https://vietstock.vn/2022/12/tap-doan-sk-muon-ban-co-phan-o-hang-loat-cong-ty-viet-nam-739-1026420.htm
Vingroup lấn sân sang mảng y học công nghệ cao;2022-12-15T04:00:00.000Z;Ngày 13/12/2022, HĐQT Tập đoàn Vingroup - CTCP (HOSE: VIC) đã thông qua việc thành lập công ty con là CTCP Đầu tư Y học công nghệ cao (VinMedtech) với vốn điều lệ 300 tỷ đồng, Vingroup góp 99% vốn.;https://vietstock.vn/2022/12/vingroup-lan-san-sang-mang-y-hoc-cong-nghe-cao-737-1024212.htm
VIC121003: Công ty con của Tập đoàn Vingroup đã chính thức nộp hồ sơ niêm yết theo mẫu F1 lên Ủy ban Chứng khoán Hoa kỳ;2022-12-12T07:48:00.000Z;;https://vietstock.vn/2022/12/vic121003-cong-ty-con-cua-tap-doan-vingroup-da-chinh-thuc-nop-ho-so-niem-yet-theo-mau-f1-len-uy-ban-chung-khoan-hoa-ky-741-1023626.htm
VinFast có gì trước IPO?;2022-12-09T02:26:00.000Z;Là một doanh nghiệp thành lập tại Singapore, VinFast Trading & Investment Pte. Ltd. sở hữu loạt công ty con trong hệ sinh thái VinFast, trong đó phải kể đến công ty nòng cốt sản xuất xe hơi tại Việt Nam và hàng loạt nước trên thế giới.;https://vietstock.vn/2022/12/vinfast-co-gi-truoc-ipo-746-1023102.htm
Thu hồi hơn 1.200 ha ở Cam Ranh để thực hiện dự án 42.000 tỷ đồng;2022-12-04T08:00:00.000Z;Sau khi HĐND tỉnh Khánh Hòa chấp thuận chủ trương địa phương này sẽ tiến hành các thủ tục trình Thủ tướng cho phép để thực hiện dự án khu đô thị ven vịnh Cam Ranh.;https://vietstock.vn/2022/12/thu-hoi-hon-1200-ha-o-cam-ranh-de-thuc-hien-du-an-42000-ty-dong-4222-1021912.htm
Nhóm ngân hàng cùng cổ phiếu “họ Vingroup” đưa VN-Index về lại mốc 1,000 điểm;2022-12-03T12:00:00.000Z;Hai chỉ số thị trường đã tiếp tục nối dài đà hồi phục trong tuần 28/11-02/12/2022. VN-Index tăng hơn 11% so với cuối tuần trước, thành công quay trở lại mốc 1,000 khi kết thúc tuần ở 1,080.01 điểm. HNX-Index cũng tăng gần 10%, về lại mức 215.96 điểm.;https://vietstock.vn/2022/12/nhom-ngan-hang-cung-co-phieu-ho-vingroup-dua-vn-index-ve-lai-moc-1000-diem-830-1021888.htm
Cổ phiếu họ Vingroup đưa VN-Index về lại sát mốc 970 điểm;2022-11-19T12:00:00.000Z;Hai chỉ số thị trường trong tuần 14-18/11/2022 đã ghi nhận nhịp phục hồi tích cực. VN-Index tăng 1.55% so với cuối tuần trước, về lại mức 969.33 điểm. HNX-Index cũng tăng 0.56%, kết thúc tuần với 190.87 điểm.;https://vietstock.vn/2022/11/co-phieu-ho-vingroup-dua-vn-index-ve-lai-sat-moc-970-diem-830-1018701.htm
Ông Phạm Nhật Vượng góp vốn vào Công ty VMI bằng 243 triệu cp VIC;2022-11-19T04:52:10.993Z;Ngày 17/11/2022, ông Phạm Nhật Vượng – Chủ tịch HĐQT Tập đoàn Vingroup (HOSE: VIC) đã chuyển quyền sở hữu gần 243.5 triệu cp VIC cho CTCP Quản lý và Đầu tư bất động sản VMI (Công ty VMI).;https://vietstock.vn/2022/11/ong-pham-nhat-vuong-gop-von-vao-cong-ty-vmi-bang-243-trieu-cp-vic-739-1018698.htm
Vingroup thuộc top 10 nơi làm việc tốt nhất Việt Nam ;2022-11-10T03:28:24.760Z;Ngày 9/11/2022, Vingroup vừa được vinh danh là 1 trong 10 nơi làm việc tốt nhất Việt Nam, đồng thời thuộc Top 50 thương hiệu nhà tuyển dụng hấp dẫn nhất của khối Doanh nghiệp Việt năm nay.;https://vietstock.vn/2022/11/vingroup-thuoc-top-10-noi-lam-viec-tot-nhat-viet-nam-737-1016546.htm
VIC chuyển nhượng toàn bộ cổ phần công ty con cho VHM;2022-11-03T04:30:00.000Z;Nhằm tái cấu trúc nội bộ, ngày 01/11/2022, HĐQT Tập đoàn Vingroup - CTCP (HOSE: VIC) đã thông qua quyết định chuyển nhượng toàn bộ cổ phần của CTCP Phát triển và Đầu tư Xây dựng Vincons cho CTCP Vinhomes (HOSE: VHM).;https://vietstock.vn/2022/11/vic-chuyen-nhuong-toan-bo-co-phan-cong-ty-con-cho-vhm-739-1015039.htm
Xử lý hai đối tượng tung tin sai về Vingroup, Novaland và thị trường chứng khoán;2022-11-01T04:31:27.137Z;Các trường hợp này đã sử dụng tài khoản mạng xã hội đăng tải, bình luận thông tin sai sự thật về thị trường tài chính, chứng khoán, gây hoang mang dư luận.;https://vietstock.vn/2022/11/xu-ly-hai-doi-tuong-tung-tin-sai-ve-vingroup-novaland-va-thi-truong-chung-khoan-830-1014353.htm
Vingroup lãi trước thuế 8,739 tỷ đồng trong 9 tháng;2022-10-31T01:37:28.937Z;CTCP Tập đoàn Vingroup (HOSE: VIC) vừa công bố kết quả kinh doanh với lợi nhuận trước thuế 9 tháng đầu năm 2022 đạt 8,739 tỷ đồng và lợi nhuận sau thuế đạt 1,571 tỷ đồng.;https://vietstock.vn/2022/10/vingroup-lai-truoc-thue-8739-ty-dong-trong-9-thang-737-1013472.htm
Bộ Công an: 'Ông Phạm Nhật Vượng không nằm trong danh sách cấm xuất cảnh';2022-10-29T11:36:39.160Z;Trung tướng Tô Ân Xô, Chánh văn phòng kiêm người phát ngôn Bộ Công an, cho biết đến giờ phút này có thể khẳng định “ông Phạm Nhật Vượng của Vingroup (HOSE: VIC) không nằm trong danh sách cấm xuất cảnh”.;https://vietstock.vn/2022/10/bo-cong-an-ong-pham-nhat-vuong-khong-nam-trong-danh-sach-cam-xuat-canh-214-1013404.htm
Tỷ phú Phạm Nhật Vượng thành lập công ty đầu tư bất động sản;2022-10-06T06:47:29.450Z;Ông Phạm Nhật Vượng - Chủ tịch HĐQT Tập đoàn Vingroup (HOSE: VIC) góp vốn vào CTCP Quản lý và Đầu tư Bất động sản VMI (VMI JSC) bằng hơn 243 triệu cp VIC, chiếm 90% cổ phần của VMI JSC (vốn điều lệ 18,000 tỷ đồng).;https://vietstock.vn/2022/10/ty-phu-pham-nhat-vuong-thanh-lap-cong-ty-dau-tu-bat-dong-san-737-1006595.htm
Vinfast huy động gần 9 ngàn tỷ đồng trái phiếu trong 9 tháng đầu năm;2022-10-01T01:30:32.817Z;Theo thông báo mới đây, CTCP Sản xuất và Kinh doanh Vinfast (Vinfast), công ty con trực thuộc Tập đoàn VINGROUP (HOSE: VIC) đã huy động thành công 300 tỷ đồng thông qua phát hành trái phiếu.;https://vietstock.vn/2022/10/vinfast-huy-dong-gan-9-ngan-ty-dong-trai-phieu-trong-9-thang-dau-nam-3118-1005350.htm
